model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,5,2019,2012,2019,2024,2019,tour,202.00071716308594,4819.0,-2690.999282836914,1926.0
full,42,5,2019,2012,2019,2024,2019,文化,199.3111572265625,3099.0,-1504.6888427734375,1395.0
full,42,5,2019,2012,2019,2024,2019,nation,198.45240783691406,2652.0,-1284.547592163086,1169.0
full,42,5,2019,2012,2019,2024,2019,遗产,189.35964965820312,1984.0,-1161.6403503417969,633.0
full,42,5,2019,2012,2019,2024,2019,阿拉伯,161.714111328125,1033.0,-668.285888671875,203.0
full,42,5,2019,2012,2019,2024,2019,发展,167.76795959472656,1136.0,-588.2320404052734,380.0
full,42,5,2019,2012,2019,2024,2019,目的地,160.9306640625,1258.0,-524.0693359375,573.0
full,42,5,2019,2012,2019,2024,2019,world,161.9106903076172,645.0,-522.0893096923828,-39.0
full,42,5,2019,2012,2019,2024,2019,view,167.19418334960938,1119.0,-504.8058166503906,447.0
full,42,5,2019,2012,2019,2024,2019,rate,158.8702850341797,1324.0,-477.1297149658203,688.0
full,42,5,2019,2012,2019,2024,2019,city,153.0382537841797,938.0,-481.9617462158203,303.0
full,42,5,2019,2012,2019,2024,2019,研究,165.19923400878906,1258.0,-428.80076599121094,664.0
full,42,5,2019,2012,2019,2024,2019,艺术,167.01246643066406,1274.0,-393.98753356933594,713.0
full,42,5,2019,2012,2019,2024,2019,site,156.31301879882812,537.0,-397.6869812011719,-17.0
full,42,5,2019,2012,2019,2024,2019,image,153.03045654296875,952.0,-383.96954345703125,415.0
full,42,5,2019,2012,2019,2024,2019,社会,153.46559143066406,939.0,-369.53440856933594,416.0
full,42,5,2019,2012,2019,2024,2019,media,153.44451904296875,821.0,-364.55548095703125,303.0
full,42,5,2019,2012,2019,2024,2019,search,159.9226837158203,976.0,-357.0773162841797,459.0
full,42,5,2019,2012,2019,2024,2019,work,154.6597900390625,684.0,-339.3402099609375,190.0
full,42,5,2019,2012,2019,2024,2019,中国,147.45272827148438,774.0,-249.54727172851562,377.0
full,42,5,2019,2012,2019,2024,2019,国家,144.68695068359375,564.0,-248.31304931640625,171.0
full,42,5,2019,2012,2019,2024,2019,影响,148.92372131347656,699.0,-221.07627868652344,329.0
full,42,5,2019,2012,2019,2024,2019,挑战,142.1028289794922,666.0,-227.8971710205078,296.0
full,42,5,2019,2012,2019,2024,2019,text,147.11233520507812,804.0,-215.88766479492188,441.0
full,42,5,2019,2012,2019,2024,2019,challenges,140.71632385253906,633.0,-204.28367614746094,288.0
full,42,5,2019,2012,2019,2024,2019,east,82.18402099609375,343.0,-249.81597900390625,11.0
full,42,5,2019,2012,2019,2024,2019,gene,131.67306518554688,796.0,-196.32693481445312,468.0
full,42,5,2019,2012,2019,2024,2019,chinese,125.46882629394531,424.0,-201.5311737060547,97.0
full,42,5,2019,2012,2019,2024,2019,land,133.64334106445312,340.0,-193.35665893554688,13.0
full,42,5,2019,2012,2019,2024,2019,社交媒体,136.00425720214844,677.0,-181.99574279785156,359.0
full,42,5,2019,2012,2019,2024,2019,应用,139.08766174316406,495.0,-177.91233825683594,178.0
full,42,5,2019,2012,2019,2024,2019,power,135.5861358642578,386.0,-174.4138641357422,76.0
full,42,5,2019,2012,2019,2024,2019,可持续,129.78504943847656,589.0,-180.21495056152344,279.0
full,42,5,2019,2012,2019,2024,2019,经济,143.0976104736328,564.0,-166.9023895263672,254.0
full,42,5,2019,2012,2019,2024,2019,road,135.14930725097656,490.0,-159.85069274902344,195.0
full,42,5,2019,2012,2019,2024,2019,经验,129.7599334716797,473.0,-165.2400665283203,178.0
full,42,5,2019,2012,2019,2024,2019,管理,142.2401123046875,480.0,-145.7598876953125,192.0
full,42,5,2019,2012,2019,2024,2019,全球,131.81504821777344,358.0,-154.18495178222656,72.0
full,42,5,2019,2012,2019,2024,2019,学习,142.2304229736328,568.0,-137.7695770263672,288.0
full,42,5,2019,2012,2019,2024,2019,change,132.1810302734375,426.0,-145.8189697265625,148.0
full,42,5,2019,2012,2019,2024,2019,视角,137.57949829101562,668.0,-137.42050170898438,393.0
full,42,5,2019,2012,2019,2024,2019,遗产旅行,114.16655731201172,378.0,-157.83344268798828,106.0
full,42,5,2019,2012,2019,2024,2019,地方,135.32359313964844,273.0,-126.67640686035156,11.0
